0,1,2,3,4,5,6,7,8,9
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0.605351170568561
1.0,0.002881844380403458,1.0,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.8963210702341129
1.0,0.005763688760806916,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.267558528428093
0.0,0.008645533141210374,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.183946488294314
0.0,0.011527377521613832,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0434782608695652
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0
1.0,0.01440922190201729,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.431438127090301
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.678929765886287
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.00668896321070234
1.0,0.017291066282420747,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.020066889632107
1.0,0.020172910662824207,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.163879598662207
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00334448160535117
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00334448160535117
0.0,0.017291066282420747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00334448160535117
1.0,0.017291066282420747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00334448160535117
1.0,0.023054755043227664,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0133779264214046
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0133779264214046
1.0,0.02593659942363112,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.020066889632107
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.00668896321070234
1.0,0.005763688760806916,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0100334448160535
1.0,0.02881844380403458,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.020066889632107
0.0,0.03170028818443804,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0234113712374581
0.0,0.034582132564841495,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0334448160535117
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.037463976945244955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00334448160535117
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0501672240802675
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0301003344481605
